pid,group,design,case,case_gt_decision,case_risk_class,variant,used_standard_prompt,decision,correct_vs_gt,task_succeeded_self,tech_succeeded,trust_rating,confidence_rating,transparency_rating,control_rating,decision_time_s,plans_seen,plans_approved,plans_rejected,chat_n_user_msgs,chat_n_assistant_msgs,has_notes,notes_chars,overestimated,underestimated
P11,citizen_dev,A,C02,approve,low,diff,1,approve,1,0,1,7,7,7,7,347.8,7,0,0,7,7,1,130,0,1
P11,citizen_dev,A,C05,reject,med_high,diff,1,approve,0,0,1,7,7,7,7,623.7,31,4,17,7,7,1,111,0,1
P11,citizen_dev,A,C06,reject,high,diff,1,approve,0,1,1,7,7,7,7,49.5,4,2,0,1,1,0,0,0,0
P11,citizen_dev,A,C03,approve,low_med,diff_risk,1,approve,1,1,1,7,7,7,7,36.1,1,0,0,1,1,0,0,0,0
P11,citizen_dev,A,C07,reject,high,diff_risk,1,approve,0,1,1,7,7,7,7,45.3,1,1,0,1,1,0,0,0,0
P12,citizen_dev,C,C03,approve,low_med,summary,1,approve,1,1,1,7,7,7,7,369.6,1,0,0,1,1,0,0,0,0
P12,citizen_dev,C,C07,reject,high,summary,0,approve,0,1,0,7,7,4,4,60.7,0,0,0,0,0,0,0,1,0
P12,citizen_dev,C,C01,approve,low,diff,1,approve,1,1,1,7,7,7,7,132.3,1,0,0,1,1,0,0,0,0
P12,citizen_dev,C,C04,reject,high,diff,1,approve,0,1,1,7,7,7,4,92.0,1,1,0,1,1,0,0,0,0
P12,citizen_dev,C,C08,approve,med,diff,1,approve,1,1,1,7,7,4,7,115.2,12,1,6,1,1,0,0,0,0
P12,citizen_dev,C,C02,approve,low,diff_risk,1,approve,1,1,1,7,7,7,7,54.0,1,0,0,1,1,0,0,0,0
P12,citizen_dev,C,C05,reject,med_high,diff_risk,1,approve,0,1,0,7,4,7,5,230.3,49,2,42,2,2,0,0,1,0
P12,citizen_dev,C,C06,reject,high,diff_risk,1,approve,0,1,1,7,7,7,7,70.9,4,2,0,1,1,0,0,0,0
P13,citizen_dev,B,C02,approve,low,summary,1,approve,1,1,1,7,7,7,7,92.3,1,0,0,1,1,0,0,0,0
P13,citizen_dev,B,C05,reject,med_high,summary,1,approve,0,1,0,4,7,7,7,339.1,14,1,8,1,1,0,0,1,0
P13,citizen_dev,B,C06,reject,high,summary,1,approve,0,1,1,7,7,7,7,248.8,7,4,0,2,2,0,0,0,0
P13,citizen_dev,B,C03,approve,low_med,diff,1,approve,1,1,1,7,7,7,7,223.9,1,0,0,1,1,0,0,0,0
P13,citizen_dev,B,C07,reject,high,diff,1,approve,0,1,1,7,7,7,7,87.9,1,1,0,1,1,0,0,0,0
P13,citizen_dev,B,C01,approve,low,diff_risk,1,approve,1,1,1,7,7,7,7,50.8,1,0,0,1,1,0,0,0,0
P13,citizen_dev,B,C04,reject,high,diff_risk,1,approve,0,1,1,7,7,7,7,96.4,1,1,0,1,1,0,0,0,0
P13,citizen_dev,B,C08,approve,med,diff_risk,1,approve,1,1,1,7,7,7,7,145.3,23,2,11,2,2,0,0,0,0
P14,citizen_dev,A,C01,approve,low,summary,1,approve,1,1,1,7,7,7,7,304.5,1,0,0,1,1,0,0,0,0
P14,citizen_dev,A,C04,reject,high,summary,1,approve,0,1,1,7,7,7,7,118.8,1,1,0,1,1,0,0,0,0
P14,citizen_dev,A,C08,approve,med,summary,1,approve,1,0,1,5,7,7,6,205.5,13,1,7,1,1,0,0,0,1
P14,citizen_dev,A,C02,approve,low,diff,1,approve,1,1,1,6,7,7,6,98.7,1,0,0,1,1,1,51,0,0
P14,citizen_dev,A,C05,reject,med_high,diff,1,approve,0,0,0,3,7,6,6,263.8,28,1,17,2,2,1,55,0,0
P14,citizen_dev,A,C06,reject,high,diff,1,approve,0,1,1,6,7,7,6,340.3,11,7,0,4,4,1,133,0,0
P14,citizen_dev,A,C03,approve,low_med,diff_risk,1,approve,1,1,1,7,7,7,7,76.0,1,0,0,1,1,1,8,0,0
P14,citizen_dev,A,C07,reject,high,diff_risk,1,approve,0,1,1,7,6,6,7,112.6,1,1,0,1,1,0,0,0,0
P15,citizen_dev,B,C02,approve,low,summary,1,approve,1,1,1,5,7,6,7,385.7,1,0,0,1,1,0,0,0,0
P15,citizen_dev,B,C05,reject,med_high,summary,1,reject,1,1,0,5,3,6,5,550.2,48,0,33,5,5,1,166,1,0
P15,citizen_dev,B,C06,reject,high,summary,1,approve,0,1,1,7,7,6,6,171.2,4,2,0,1,1,0,0,0,0
P15,citizen_dev,B,C03,approve,low_med,diff,1,approve,1,1,1,7,7,6,6,60.0,1,0,0,1,1,0,0,0,0
P15,citizen_dev,B,C07,reject,high,diff,1,approve,0,1,1,7,7,6,6,68.7,1,1,0,1,1,0,0,0,0
P15,citizen_dev,B,C01,approve,low,diff_risk,1,approve,1,1,1,7,7,6,6,22.6,1,0,0,1,1,0,0,0,0
P15,citizen_dev,B,C04,reject,high,diff_risk,1,approve,0,1,1,7,7,6,6,78.3,1,1,0,1,1,0,0,0,0
P15,citizen_dev,B,C08,approve,med,diff_risk,1,approve,1,1,1,5,5,6,6,327.8,15,1,9,1,1,1,87,0,0
P16,citizen_dev,C,C03,approve,low_med,summary,0,approve,1,1,1,2,5,6,2,919.6,7,0,0,8,8,0,0,0,0
P16,citizen_dev,C,C07,reject,high,summary,1,approve,0,1,1,5,4,3,6,236.2,3,3,0,2,2,1,68,0,0
P16,citizen_dev,C,C01,approve,low,diff,0,approve,1,1,1,7,6,6,6,83.9,2,0,0,2,2,0,0,0,0
P16,citizen_dev,C,C04,reject,high,diff,0,approve,0,1,1,6,6,7,7,149.1,1,1,0,2,2,0,0,0,0
P16,citizen_dev,C,C08,approve,med,diff,0,approve,1,1,1,4,5,7,2,374.2,41,4,21,5,5,0,0,0,0
P16,citizen_dev,C,C02,approve,low,diff_risk,0,approve,1,1,1,7,7,7,7,77.8,1,0,0,1,1,0,0,0,0
P16,citizen_dev,C,C05,reject,med_high,diff_risk,0,approve,0,1,0,2,6,7,2,430.8,53,1,47,3,3,0,0,1,0
P16,citizen_dev,C,C06,reject,high,diff_risk,1,approve,0,1,1,7,6,4,5,70.2,4,2,0,1,1,0,0,0,0
P17,citizen_dev,A,C01,approve,low,summary,1,approve,1,1,1,3,3,6,2,216.7,1,0,0,1,1,0,0,0,0
P17,citizen_dev,A,C04,reject,high,summary,0,approve,0,1,1,1,6,7,2,232.2,4,1,0,3,3,1,21,0,0
P17,citizen_dev,A,C08,approve,med,summary,1,approve,1,0,1,3,5,7,4,201.0,14,2,7,2,2,1,39,0,1
P17,citizen_dev,A,C02,approve,low,diff,1,approve,1,1,1,5,2,5,3,133.0,1,0,0,1,1,0,0,0,0
P17,citizen_dev,A,C05,reject,med_high,diff,1,approve,0,1,1,7,3,7,4,336.8,69,2,57,2,2,1,25,0,0
P17,citizen_dev,A,C06,reject,high,diff,1,approve,0,1,1,6,6,7,4,167.3,4,2,0,1,1,0,0,0,0
P17,citizen_dev,A,C03,approve,low_med,diff_risk,1,approve,1,1,1,7,6,6,4,132.2,1,0,0,1,1,0,0,0,0
P17,citizen_dev,A,C07,reject,high,diff_risk,1,approve,0,1,1,2,2,2,4,211.7,2,1,1,2,2,0,0,0,0
P18,citizen_dev,B,C02,approve,low,summary,1,approve,1,1,1,6,7,7,7,349.8,1,0,0,1,1,0,0,0,0
P18,citizen_dev,B,C05,reject,med_high,summary,1,approve,0,0,0,3,3,6,3,253.0,20,1,9,2,2,0,0,0,0
P18,citizen_dev,B,C06,reject,high,summary,1,approve,0,1,1,7,7,7,7,140.6,4,2,0,1,1,0,0,0,0
P18,citizen_dev,B,C03,approve,low_med,diff,1,approve,1,1,1,7,7,7,7,69.9,1,0,0,1,1,0,0,0,0
P18,citizen_dev,B,C07,reject,high,diff,1,approve,0,1,0,6,6,6,6,413.6,1,1,0,1,1,0,0,1,0
P18,citizen_dev,B,C01,approve,low,diff_risk,1,approve,1,1,1,7,7,7,7,163.6,1,0,0,1,1,0,0,0,0
P18,citizen_dev,B,C04,reject,high,diff_risk,1,approve,0,1,1,6,5,7,6,210.3,1,1,0,1,1,0,0,0,0
P18,citizen_dev,B,C08,approve,med,diff_risk,1,approve,1,0,1,3,5,5,2,115.0,12,1,6,1,1,0,0,0,1
